year,venue,fsa_plus_minus,winner,winning_score_vs_par,era_note
1955,Olympic Club (Lake),8.72,Jack Fleck,7,Pre-modern: directional only
1951,Oakland Hills (South),7.23,Ben Hogan,7,Pre-modern: directional only
1974,Winged Foot (West),6.99,Hale Irwin,7,Pre-modern: directional only
2007,Oakmont CC,5.7,Angel Cabrera,5,Modern (Data Golf verified)
1976,Atlanta Athletic Club,5.47,Jerry Pate,-3,Pre-modern: directional only
2006,Winged Foot (West),5.0,Geoff Ogilvy,5,Modern (Data Golf verified)
1978,Cherry Hills CC,4.92,Andy North,1,Pre-modern: directional only
1998,Olympic Club (Lake),4.6,Lee Janzen,0,Pre-modern: directional only
1999,Pinehurst No. 2,4.5,Payne Stewart,-1,Pre-modern: directional only
