year,venue,winner,winning_score_vs_par,cut_score_vs_par,mens_cut_fsa_comparison,delta_women_minus_men,notes
1992,Oakmont CC,Patty Sheehan,-4,9,8.0 (men avg),1.0,Women harder
2010,Oakmont CC,Paula Creamer,-3,10,8.0 (men avg),2.0,Women harder
2014,Pinehurst No. 2,Michelle Wie,-2,9,+5 (same week),4.0,Women harder; same week same USGA crew
2021,Olympic Club (Lake),Yuka Saso,-4,6,8.0 (men avg),-2.0,Men slightly harder; rough trimmed pre-tournament
2023,Pebble Beach,Allisen Corpuz,-9,6,2.6 (men avg),3.4,Women harder
